time, Quad.Est.E.Yaw
0.344999,0.040738,0.305880
0.349999,0.041250,0.305999
0.354999,0.041967,0.306180
0.359999,0.042433,0.306302
0.364999,0.043149,0.306488
0.369999,0.043611,0.306613
0.374999,0.044287,0.306803
0.379999,0.044741,0.306931
0.384999,0.045379,0.307126
0.389999,0.045798,0.307257
0.394998,0.046409,0.307456
0.399998,0.046830,0.307590
0.404998,0.061987,0.306572
0.409998,0.062536,0.306684
0.414998,0.063359,0.306854
0.419998,0.063910,0.306968
0.424998,0.064717,0.307142
0.429998,0.065241,0.307258
0.434998,0.066004,0.307435
0.439998,0.066511,0.307554
0.444998,0.067264,0.307735
0.449998,0.067759,0.307856
0.454998,0.068496,0.308041
0.459998,0.068993,0.308165
0.464998,0.069751,0.308352
0.469997,0.070240,0.308479
0.474997,0.070987,0.308670
0.479997,0.071535,0.308799
0.484997,0.072370,0.308994
0.489997,0.072914,0.309126
0.494997,0.073733,0.309325
0.499997,0.074283,0.309458
0.504997,0.038165,0.308402
0.509997,0.038391,0.308516
0.514997,0.038713,0.308690
0.519997,0.038903,0.308807
0.524997,0.039199,0.308983
0.529997,0.039399,0.309102
0.534997,0.039693,0.309282
0.539997,0.039896,0.309403
0.544997,0.040237,0.309586
0.549996,0.040453,0.309709
0.554996,0.040783,0.309895
0.559996,0.041012,0.310020
0.564996,0.041319,0.310209
0.569996,0.041504,0.310336
0.574996,0.041729,0.310528
0.579996,0.041876,0.310657
0.584996,0.042117,0.310852
0.589996,0.042281,0.310984
0.594996,0.042541,0.311182
0.599996,0.042716,0.311315
